LINE,STATION,IN_WEEKDAY,IN_FRI,IN_SAT,IN_SUN,OUT_WEEKDAY,OUT_FRI,OUT_SAT,OUT_SUN,ANNUALISED_INANDOUT
LU,Farringdon,24124.25,18817.4,9729.909091,5381.8,23455.25,18537.4,9853.636364,4666.1,8497573.122
LU,Finchley Central,8865.388055,8444.571002,6264.918475,3770.810626,8728.264721,8090.179248,5629.706986,4101.867645,3523038.496
LU,Finchley Road,9442.315789,9941.25,7639.666667,5627.888889,8942.894737,9146,7089.222222,5354.222222,3908194.7
LU,Finsbury Park,34453.47423,34872.81963,33227.15385,19186.75136,31165.03194,31281.82674,25963.76851,18382.49343,14048632.39
LU,Fulham Broadway,9784.052632,9955.727273,8297.428571,5279.555556,9949.578947,9851.090909,8245,5044.111111,4148234.717
LU,Gants Hill,7046.421053,6967.1,5212,3603,6731.473684,6503.2,4915.285714,3545.363636,2835478.379
LU,Gloucester Road,15218.36842,16296.4,14568,11116.54545,15970.26316,17173.9,16061.81818,11007.18182,6967643.064
LU,Golders Green,8007.066667,7925.125,5960.9,4735.625,8018.466667,7686.125,5725.4,4761.125,3332144.087
LU,Goldhawk Road,2236.842105,2422.8,2156.888889,1295.571429,2171.789474,2163.4,1922.222222,1300.571429,954301.0258
LU,Goodge Street,6132.333333,5687.25,4016.5,2374,6745,6579.125,4340.5,2315.571429,2537085.77
LU,Grange Hill,673.75,589.7777778,368.5,212.875,551.6875,480.8888889,302.8333333,188.875,232680.3871
LU,Great Portland Street,6925.444444,6425.3,3854.5,2428,7088.611111,6518.2,3784.4,2253.75,2685637.029
LU,Green Park,35109.4,32909.36364,27177.71429,19060.625,41148.6,40566.54545,34823,23203.625,15943762.55
LU,Greenford,5104.85,4973.6,3561.75,2191.555556,5116.5,4834.8,3378.5,2243.888889,2049869.277
LU,Gunnersbury,5032.631579,4474.111111,3419.5,2385.666667,4853.894737,4186.111111,3260.166667,2303.333333,1967487.432
LU,Hainault,4367.85,4276.7,2921.272727,1861.272727,4276.5,4089.4,2823.545455,1902.090909,1732237.262
LU,Hammersmith (DIS),25648.65,25179.7,21474.55556,14652.375,25675.65,24911.6,21001.55556,14451.125,10798249.47
LU,Hammersmith (H&C),10383.36842,10345.1,8729,5646.636364,9703.315789,9591.8,8119.571429,5155.545455,4225083.16
LU,Hampstead,4536.421053,4746.571429,4026.727273,3251.5,5090.263158,5276.857143,4410.909091,3720,2111620.394
LU,Hanger Lane,3637.333333,3433.5,2713.555556,1758.4,3569.222222,3343.75,2631.555556,1732.4,1467627.978
LU,Harlesden,3955.3,3894.090909,2421.571429,1467.571429,3923.9,3763.454545,2330.571429,1530.428571,1549699.539
LU,Harrow & Wealdstone,5276.333333,5212.2,3664.875,2338.285714,5076.666667,4849.5,3246.25,2247.428571,2079626.635
LU,Harrow-on-the-Hill,10958.42105,11309.5,9093.555556,6041,11602.10526,11769.7,9350.222222,6375.25,4761644.792
LU,Hatton Cross,3192.222222,3287.9,2766.571429,2432.75,3245.166667,3292.5,2750.285714,2459.375,1411470.097
LU,Heathrow Terminal 4 LU,0,0,0,0,0,0,0,0,0
LU,Heathrow Terminal 5 LU,4678.35,5602.166667,4881.375,6010.375,3561.55,4329.833333,3421.5,4197.5,2027836.572
LU,Heathrow Terminals 123 LU,5920,6011.111111,5202.833333,6756.75,4738.1,4622.222222,3983.833333,5059.375,2452747.022
LU,Hendon Central,7448.65,7118.444444,5211.111111,3846.909091,7055.75,6518.666667,4539.111111,3573.636364,2933496.102
LU,High Barnet,4504.35,4526.875,3383.272727,2169.4,4392.35,4252.25,3173.454545,2211.5,1826421.397
LU,High Street Kensington,10369.7,10270.54545,10067.71429,6738.285714,10238.45,10267.27273,9537,5569.714286,4454568.089
LU,Highbury & Islington,18218.89474,19846.3,18134.4,12114.75,19162.73684,20778.4,19139.8,13007.625,8340489.698
LU,Highgate,5673.2,5759.4,4906.9,3214.909091,5796.5,5582.4,4749.6,3441.909091,2428486.345
LU,Hillingdon,1815.6,1918,1558.875,951,1712,1708.666667,1415.5,960.8,747141.385
LU,Holborn,26411.55,24319,20061.66667,12873.81818,28672.1,27963.3,21949.33333,13212.72727,11252227.53
LU,Holland Park,4003.071429,3789.75,2905.375,1973.555556,3937.285714,3650,2916.75,2010,1618470.648
LU,Holloway Road,7013.05,7092.125,5160.5,3671.333333,6997.35,6750.375,4830,3747.666667,2882905.207
LU,Hornchurch,2410.210526,2209.777778,1412.833333,859.75,2395.526316,2216.444444,1485.666667,896.625,934752.1185
LU,Hounslow Central,3593.105263,3598.7,2903.777778,2179.888889,3589.684211,3541,2863.888889,2195.444444,1519625.614
LU,Hounslow East,4019.25,4052.5,3486.285714,2668,4244.8,4176.2,3516.428571,2755.111111,1773817.667
LU,Hounslow West,3513.35,3552.3,3204.555556,2534.875,3556.75,3517.4,3174.444444,2688.625,1550627.939
LU,Hyde Park Corner,4174.333333,4204.75,3913,3307.25,4290.583333,4280.875,4250.125,3217.125,1883530.202
LU,Ickenham,1193.222222,1195.555556,888,449.6666667,1178.5,1193.222222,859.1428571,485.5555556,480784.6798
LU,Kennington,5576.95,6059.111111,5725,4020.4,5412.4,5620.444444,5647.625,4257.5,2486398.427
LU,Kensal Green,2613.05,2692.5,2175.333333,1385,2490.15,2366.125,1906.166667,1411.777778,1068361.559
LU,Kensington (Olympia),20.24404572,20.44018342,220.1169533,260.6074402,31.23316259,31.14659743,138.8327768,167.5819919,34499.47117
LU,Kentish Town,9220.8,9046.2,7270.8,4733.6,8684.8,8371.2,6512.2,4742.2,3708705.091
LU,Kenton,2370,2246.9,1631.714286,1051.428571,2352.25,2240,1612.142857,1079.428571,949500.257
LU,Kew Gardens,4624.75,4844.636364,5346,4154.333333,4533.3,4709.909091,5225.375,4075,2146236.023
LU,Kilburn,7692.5,8099.7,7041.727273,5063.454545,7466.15,7492.6,6506.636364,5007.818182,3297470.83
LU,Kilburn Park,3215.166667,3519.363636,3111.6,2049.625,3048.555556,3145.181818,2761.5,1998.75,1375207.282
LU,King's Cross St. Pancras,76546.65,86808,89500.90909,69804,77255.9,90424.45455,89126.09091,71424.63636,36734085.14
LU,Kingsbury,5129.888889,4990.2,3579.625,2463.5,5066.444444,4890.9,3458.375,2447.5,2067899.122
LU,Knightsbridge,16491.95,17025,18733.125,12581,16201.5,16841.88889,17698.75,12027.71429,7453212.286
