LINE,STATION,IN_MON,IN_TUE_TO_THU,IN_FRI,IN_SAT,IN_SUN,OUT_MON,OUT_TUE_TO_THU,OUT_FRI,OUT_SAT,OUT_SUN,ANNUALISED_INANDOUT
LO,Gunnersbury,0,0,0,0,0,0,0,0,0,0,0
LO,Hackney Central,6383.143871,8046.701495,8176.716841,8421.960977,5170.318147,6697.300574,8234.898505,8528.283159,9269.539023,5421.01139,5029944.18
LO,Hackney Downs,6809,5375.121016,7335,5954.324854,5954.324854,6317,7322.077553,7468,5175.731463,5175.731463,4153346.44
LO,Hackney Wick,5213.39424,5213.39424,5230.520489,5210.629606,2796.067818,4736.003856,4736.003856,5428.910453,5731.387345,3102.391894,3166148.496
LO,Haggerston,3979.111111,4972.3,4663.222222,4134.2,2612.125,3961.111111,4920.8,4666,4284.4,2695.625,2854583.886
LO,Hampstead Heath,4547.444444,4890.1,4834.571429,3076.5,2833.6,4531,4833.9,4739.428571,3170.5,2909.2,2814083.437
LO,Harlesden,0,0,0,0,0,0,0,0,0,0,0
LO,Harringay Green Lanes,2494,2606.66156,2747,2566,1629,2603,2693.46156,2745,2536,1694,1642617.899
LO,Harrow & Wealdstone,0,0,0,0,0,0,0,0,0,0,0
LO,Hatch End,953.7852574,1061.363345,999.7320378,717.8357974,437.6937941,941.3628791,1057.751681,1012.314611,745.5174583,464.6564508,594215.6252
LO,Headstone Lane,1051.139162,1051.139162,1090.477691,531.1085208,443.1073688,902.7231859,902.7231859,887.9955259,464.6030258,478.8668131,550996.5619
LO,Highams Park,3915.180161,4690.353683,4086.958229,3009.332075,1774.929223,3829.160594,4538.963712,3809.538456,2716.262976,1810.579847,2476551.439
LO,Highbury & Islington,0,0,0,0,0,0,0,0,0,0,0
LO,Homerton,6128.312287,7103.491664,7044.537066,5445.108525,3600.713012,6057.01104,6747.509699,6358.262556,4965.397924,3592.32463,3986986.338
LO,Honor Oak Park,3356.051868,4055.573031,3705.101767,3238.125197,2001.467967,3382.615078,4018.978714,3422.576398,2971.374646,2099.192618,2277084.532
LO,Hoxton,4261.035965,5406.626822,5066.466278,4137.988885,3603.159624,4416.614239,5660.37538,5420.525905,4392.995701,4401.279228,3241591.841
